Variable;Scenario;Scenario_name;Class;UF;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;TO;0.013271178;0.013271178;0.013733059;0.013402811;0.013712742;0.010220404;0.010241751;0.001882663;0.001882663;0.001882663;0.001882663;0.001882663
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;MA;0.005056454;0.005056454;0.005185265;0.005873378;0.006099126;0.004328146;0.00663452;0.000812673;0.000812673;0.000812673;0.000812673;0.000812673
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;PI;0.002834096;0.002834096;0.003321401;0.004151795;0.006570615;0.002839932;0.002448587;0.000630629;0.000630629;0.000630629;0.000630629;0.000630629
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;CE;0.003450471;0.003450471;0.003669769;0.00509677;0.008999509;0.003903928;0.002042282;0.001040529;0.001040529;0.001040529;0.001040529;0.001040529
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;RN;0.003429094;0.003429094;0.00367585;0.002983048;0.004955147;0.002591226;0.001321223;0.000572469;0.000572469;0.000572469;0.000572469;0.000572469
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;PB;0.003924759;0.003924759;0.003823534;0.00381453;0.006808205;0.004489861;0.002288125;0.000959039;0.000959039;0.000959039;0.000959039;0.000959039
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;PE;0.006200766;0.006200766;0.006274712;0.006997779;0.012515733;0.006194684;0.003709888;0.001594097;0.001594097;0.001594097;0.001594097;0.001594097
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;AL;0.002169708;0.002169708;0.001908071;0.001466166;0.003590056;0.001386759;0.000825693;0.000442596;0.000442596;0.000442596;0.000442596;0.000442596
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;SE;0.001628332;0.001628332;0.001475012;0.00137588;0.002674436;0.001481113;0.000938585;0.000363118;0.000363118;0.000363118;0.000363118;0.000363118
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;BA;0.02045618;0.02045618;0.021214865;0.031652446;0.047132294;0.024078169;0.020262022;0.005339046;0.005339046;0.005339046;0.005339046;0.005339046
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;MG;0.046731829;0.046731829;0.045482557;0.046099072;0.050538501;0.033565715;0.03012968;0.006491628;0.006491628;0.006491628;0.006491628;0.006491628
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;ES;0.002699984;0.002699984;0.003292023;0.004997585;0.006541749;0.002963234;0.003498546;0.00052836;0.00052836;0.00052836;0.00052836;0.00052836
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;RJ;0.00192406;0.00192406;0.002193361;0.001934308;0.002397993;0.001574406;0.001903495;0.000285368;0.000285368;0.000285368;0.000285368;0.000285368
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;SP;0.025274037;0.025274037;0.022558917;0.015224299;0.007631312;0.010506543;0.004932029;0.001933255;0.001933255;0.001933255;0.001933255;0.001933255
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;PR;0.005135002;0.005135002;0.004073533;0.003197285;0.001767133;0.002971135;0.00130231;0.000546139;0.000546139;0.000546139;0.000546139;0.000546139
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;SC;0.000755898;0.000755898;0.000619719;0.000365176;0.000194894;0.000266035;0.000171314;4.4522E-05;4.4522E-05;4.4522E-05;4.4522E-05;4.4522E-05
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;RS;0.000298931;0.000298931;0.000221101;0.000127298;4.43137E-05;6.71593E-05;5.28131E-05;1.02212E-05;1.02212E-05;1.02212E-05;1.02212E-05;1.02212E-05
Pasture condition dynamics;B;Good governance (ABC+);Degraded pasture;MS;0.040808147;0.040808147;0.037770523;0.039700299;0.023095009;0.031279756;0.017157226;0.005689409;0.005689409;0.005689409;0.005689409;0.005689409
